term
air
apple
autumn
bat
cat
desert
dog
dragon
earth
fall
fire
fish
forest
frog
grass
horse
lion
metal
moon
ocean
octopus
panda
penguin
sky
snake
snow
space
spring
summer
tree
unicorn
walrus
water
wind
winter
